Street,Intersection,fatal,EMSTransport,Posted Speed,Weather Code,pedestrian,bicycle,drug,etoh,Latitude,Longitude,Light Condition,year,month,day,hour,day_of_week
2100 Market St,W 21st St,1,1,35.0,0,1,0,1.0,1.0,35.030156,-85.308327,0,2023,9,15,23,4
4505 10th Ave,E 45th St,0,0,30.0,0,1,0,0.0,0.0,34.990735,-85.288301,4,2023,9,19,16,1
4011 Rossville Blvd,E 41st St,0,1,45.0,0,1,0,0.0,0.0,34.995172,-85.290933,2,2023,9,27,5,2
E 3rd St,N Holtzclaw Ave,0,1,35.0,4,1,0,0.0,0.0,35.043663,-85.27972,0,2023,9,27,20,2
Mccallie Ave,S Willow St,0,1,35.0,0,1,0,0.0,0.0,35.034847,-85.271845,4,2023,10,4,16,2
7710 E Brainerd Rd,Jenkin rd,0,0,45.0,0,1,0,0.0,0.0,35.040883,-85.317904,0,2023,10,4,20,2
1000 Baldwin St,E 10th St,0,1,15.0,0,1,0,0.0,0.0,35.041628,-85.300747,4,2023,10,5,10,3
S Holtzclaw Ave,E Main St,0,1,35.0,0,1,0,0.0,0.0,35.028961,-85.288147,0,2023,10,16,5,0
200 W MLK Blvd,Broad St,0,1,30.0,0,1,0,0.0,0.0,35.04574,-85.31046,4,2023,10,17,12,1
S Orchard Knob Ave,E Main St,0,1,35.0,0,1,0,0.0,0.0,35.026079,-85.280092,3,2023,10,19,7,3
5226 Highway 153,Hamill Rd,0,0,55.0,0,1,0,0.0,0.0,35.123715,-85.239915,4,2023,10,19,10,3
Hixson Pike,Northpoint Blvd,0,1,25.0,0,1,0,0.0,0.0,35.135654,-85.239321,4,2023,10,20,13,4
5958 Snow Hill Rd,Hunter Rd,0,0,20.0,0,1,0,,,35.090553,-85.064316,4,2023,10,21,14,5
421 W 38th St,Chandler Ave,0,1,35.0,0,1,0,0.0,0.0,35.007086,-85.314865,4,2022,10,28,22,4
N Orchard Knob Ave,E 3rd St,0,1,30.0,0,1,0,0.0,0.0,35.040879,-85.27199,0,2023,10,27,23,4
701 Mansion Cir,Notting Hill,0,0,15.0,6,1,0,0.0,0.0,35.081115,-85.298851,4,2023,11,5,12,6
370 W Martin Luther King Blvd,Highway 27 SB,0,0,25.0,0,1,0,0.0,0.0,35.047035,-85.315233,4,2023,11,7,8,1
1507 Hickory Valley Rd,Hickory Valley Rd,0,0,15.0,0,1,0,0.0,0.0,35.023952,-85.181002,4,2023,11,9,0,3
Market St,E 11th St,0,1,30.0,0,1,0,0.0,0.0,35.043915,-85.30934,4,2023,11,16,16,3
300 W Main St,Broad St,0,1,35.0,1,1,0,0.0,0.0,35.03752,-85.31113,4,2023,11,26,14,6
7500 Standifer Gap Rd,Walker Rd,0,1,45.0,0,1,0,0.0,0.0,35.050162,-85.13463,1,2023,12,5,21,1
2017 Gunbarrel Rd,Goodwin Rd,0,1,15.0,0,1,0,,,34.997952,-85.145693,0,2023,12,11,19,0
200 W 38th St,Huges Ave,0,0,25.0,0,1,0,0.0,0.0,35.005769,-85.312336,4,2023,12,12,6,1
18120 Interstate 24 Eastbound,Interstate 75,1,1,55.0,0,1,0,0.0,0.0,35.015381,-85.276945,0,2023,2,14,20,1
,Browns Ferry Rd,1,1,55.0,4,1,0,0.0,0.0,35.0186462,-85.331377,1,2023,1,18,20,2
7001 Lee Hwy,Shallowford Rd,0,1,45.0,0,1,0,0.0,0.0,35.04497,-85.16237,4,2022,10,4,16,1
1710 Gunbarrel Rd,Ziegler Rd,0,1,,0,1,0,0.0,0.0,35.020977,-85.15991,0,2023,9,12,20,1
7630 E Brainerd Rd,Mackey Branch Dr,0,1,45.0,0,1,0,0.0,0.0,35.011617,-85.157779,4,2023,1,28,16,5
602 Central Ave,Vine St,0,1,25.0,0,1,0,0.0,1.0,35.043677,-85.289771,0,2023,2,11,0,5
Grubb Rd,Highway 153,0,1,35.0,0,1,0,0.0,0.0,35.158162,-85.248507,1,2022,10,3,6,0
3126 Alton Park Blvd,W 31st St,0,1,15.0,0,1,0,0.0,0.0,35.01695,-85.312566,4,2023,8,7,7,0
4101 Jerome Ave,E 39th St,0,1,15.0,4,1,0,0.0,0.0,34.996963,-85.301073,0,2023,1,17,5,1
7640 E Brainerd Rd,E Brainerd Rd,0,1,,0,1,0,0.0,0.0,35.011033,-85.15783,4,2023,7,20,11,3
Vine St,Houston St,0,1,25.0,0,1,0,0.0,0.0,35.049178,-85.302365,4,2023,3,23,12,3
1194 Hooker Rd,E 49th St,0,1,30.0,4,1,0,0.0,0.0,34.985076,-85.287463,1,2023,11,11,0,5
2600-2706 Walker Rd,Standifer Gap Road,0,0,30.0,0,1,0,0.0,0.0,35.054775,-85.138024,4,2023,7,9,19,6
4200 Bonny Oaks Dr,S Access Rd,0,0,40.0,0,1,0,0.0,0.0,35.076752,-85.102216,4,2023,8,24,16,3
610 N Moore Rd,Ellis Ave,0,1,45.0,0,1,0,0.0,0.0,35.020732,-85.223996,4,2023,8,1,21,1
1028 Beason Dr,Beason Dr,0,0,15.0,0,1,0,0.0,0.0,35.0522823,-85.132235,4,2023,7,4,18,1
400 Chickamauga Rd,Lee hwy,1,0,15.0,0,1,0,1.0,1.0,35.021816,-85.19837,0,2023,8,17,3,3
Rogers Rd,N Parkdale Ave,0,0,25.0,0,1,0,0.0,0.0,35.02496,-85.227372,4,2018,1,4,14,3
51 W 3rd St,Market St,0,1,35.0,0,1,0,0.0,0.0,35.106632,-85.279061,4,2018,1,4,14,3
3569 Brainerd Rd,N Germantown Rd,0,1,40.0,0,1,0,0.0,0.0,35.027555,-85.127268,4,2023,10,10,18,1
2017 Gunbarrel Rd,Gunbarrel Rd,0,0,,0,1,0,0.0,0.0,35.031677,-85.155287,4,2023,8,30,9,2
I-75 SB Exit 5 Rd,Shallowford Rd,0,0,40.0,0,1,0,0.0,0.0,35.0432887,-85.157116,4,2023,9,20,16,2
4011 Brainerd Rd,Belvoir Ave,0,1,35.0,1,1,0,0.0,1.0,35.018851,-85.238307,4,2023,10,6,12,4
8644 E Brainerd Rd,Hurricane Creek Rd,0,1,,0,1,0,0.0,0.0,34.999417,-85.133814,4,2023,11,7,13,1
Igou Gap Rd,Morris Hill Rd,0,1,25.0,0,1,0,0.0,0.0,35.016107,-85.125823,4,2023,4,25,9,1
4417 Highway 58,Murray Hills Dr,0,1,40.0,0,1,0,0.0,0.0,35.084699,-85.202247,0,2023,10,3,7,1
4900 Bonny Oaks Drive,Jersey Pike,1,0,45.0,0,1,0,1.0,1.0,35.0817186,-85.262947,0,2023,10,7,0,5
400 E 11th St,Non intersection,0,0,30.0,0,1,0,0.0,0.0,35.041869,-85.304752,4,2023,10,10,6,1
8001 Volkswagen Dr,Ferdinand Piech Wy,1,1,30.0,0,1,0,0.0,0.0,35.087197,-85.134496,0,2023,4,29,5,5
Mccallie Ave,Douglas St,0,0,25.0,0,1,0,0.0,0.0,35.045946,-85.301604,0,2023,10,27,20,4
17970 Interstate 24 Wb Rd,Interstate 24 Eb,0,1,50.0,0,1,0,0.0,0.0,35.024619,-85.300802,4,2023,11,1,16,2
5510 Highway 153,Gadd Rd,1,1,45.0,0,1,0,0.0,0.0,35.001691,-85.293182,4,2023,11,1,20,2
Cherokee Blvd,W Manning St,0,0,30.0,0,1,0,0.0,0.0,35.065702,-85.313496,4,2018,1,25,17,3
1010 N Moore Rd,N Moore Rd,0,0,20.0,0,1,0,0.0,0.0,35.025175,-85.218099,4,2018,1,25,17,3
