Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,Pedestrian Involved,Bicycle Involved,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition
23-101216,09/15/2023 11:00:00 PM,23,2100 Market St,,Chattanooga,Hamilton,W 21st St,,Fatal,Not Collision with Motor Vehicle in Transport,Yes,Yes,Yes,No,35,1,Clear,Yes,No,Yes,Yes,35.030156,-85.308327,POINT (-85.308327 35.030156),"(35.030156, -85.308327)",Dark - Lighted
23-102526,09/19/2023 04:45:00 PM,17,4505 10th Ave,,Chattanooga,Hamilton,E 45th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,30,1,Clear,Yes,No,No,No,34.990735,-85.288301,POINT (-85.288301 34.990735),"(34.990735, -85.288301)",Daylight
23-105265,09/27/2023 05:50:00 AM,6,4011 Rossville Blvd,,Chattanooga,Hamilton,E 41st St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,45,1,Clear,Yes,No,No,No,34.995172,-85.290933,POINT (-85.290933 34.995172),"(34.995172, -85.290933)",Dark - Unknown Lighting
23-105569,09/27/2023 08:06:00 PM,20,E 3rd St,,Chattanooga,Hamilton,N Holtzclaw Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Rain,Yes,No,No,No,35.043663,-85.27972,POINT (-85.27972 35.043663),"(35.043663, -85.279720)",Dark - Lighted
23-108143,10/04/2023 04:57:00 PM,17,Mccallie Ave,,Chattanooga,Hamilton,S Willow St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,35,1,Clear,Yes,No,No,No,35.034847,-85.271845,POINT (-85.271845 35.034847),"(35.034847, -85.271845)",Daylight
23-108200,10/04/2023 08:35:00 PM,20.5,7710 E Brainerd Rd,,Chattanooga,Hamilton,Jenkin rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,45,2,Clear,Yes,No,No,No,35.040883,-85.317904,POINT (-85.317904 35.040883),"(35.040883, -85.317904)",Dark - Lighted
23-108386,10/05/2023 10:55:00 AM,11,1000 Baldwin St,,Chattanooga,Hamilton,E 10th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,15,1,Clear,Yes,No,No,No,35.041628,-85.300747,POINT (-85.300747 35.041628),"(35.041628, -85.300747)",Daylight
23-112201,10/16/2023 05:20:00 AM,5.5,S Holtzclaw Ave,,Chattanooga,Hamilton,E Main St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.028961,-85.288147,POINT (-85.288147 35.028961),"(35.028961, -85.288147)",Dark - Lighted
23-112673,10/17/2023 12:20:00 PM,12.5,200 W MLK Blvd,,Chattanooga,Hamilton,Broad St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,30,1,Clear,Yes,No,No,No,35.04574,-85.31046,POINT (-85.31046 35.04574),"(35.045740, -85.310460)",Daylight
23-113335,10/19/2023 07:30:00 AM,7.5,S Orchard Knob Ave,,Chattanooga,Hamilton,E Main St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,35,1,Clear,Yes,No,No,No,35.026079,-85.280092,POINT (-85.280092 35.026079),"(35.026079, -85.280092)",Dawn
23-113364,10/19/2023 10:23:00 AM,10.5,5226 Highway 153,,Chattanooga,Hamilton,Hamill Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,55,1,Clear,Yes,No,No,No,35.123715,-85.239915,POINT (-85.239915 35.123715),"(35.123715, -85.239915)",Daylight
23-113822,10/20/2023 01:43:00 PM,13.5,Hixson Pike,,Chattanooga,Hamilton,Northpoint Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,25,1,Clear,Yes,No,No,No,35.135654,-85.239321,POINT (-85.239321 35.135654),"(35.135654, -85.239321)",Daylight
23-114226,10/21/2023 02:39:00 PM,14.5,5958 Snow Hill Rd,,Chattanooga,Hamilton,Hunter Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,20,1,Clear,Yes,No,,,35.090553,-85.064316,POINT (-85.064316 35.090553),"(35.090553, -85.064316)",Daylight
22-102051,10/28/2022 10:00:00 PM,22,421 W 38th St,,Chattanooga,Hamilton,Chandler Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.007086,-85.314865,POINT (-85.314865 35.007086),"(35.0070860, -85.314865)",Daylight
23-116563,10/27/2023 11:16:00 PM,23.5,N Orchard Knob Ave,,Chattanooga,Hamilton,E 3rd St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,30,1,Clear,Yes,No,No,No,35.040879,-85.27199,POINT (-85.27199 35.040879),"(35.040879, -85.271990)",Dark - Lighted
23-119896,11/05/2023 12:00:00 PM,12,701 Mansion Cir,,Chattanooga,Hamilton,Notting Hill,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,15,1,Unknown,Yes,No,No,No,35.081115,-85.298851,POINT (-85.298851 35.081115),"(35.081115, -85.298851)",Daylight
23-119989,11/07/2023 08:32:00 AM,8.5,370 W Martin Luther King Blvd,,Chattanooga,Hamilton,Highway 27 SB,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,25,1,Clear,Yes,No,No,No,35.047035,-85.315233,POINT (-85.315233 35.047035),"(35.047035, -85.315233)",Daylight
23-120811,11/09/2023 12:00:00 AM,,1507 Hickory Valley Rd,,Chattanooga,Hamilton,Hickory Valley Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,15,1,Clear,Yes,No,No,No,35.023952,-85.181002,POINT (-85.181002 35.023952),"(35.023952, -85.181002)",Daylight
23-123345,11/16/2023 04:30:00 PM,16.5,Market St,,Chattanooga,Hamilton,E 11th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,30,1,Clear,Yes,No,No,No,35.043915,-85.30934,POINT (-85.30934 35.043915),"(35.043915, -85.309340)",Daylight
23-126498,11/26/2023 02:31:00 PM,14.5,300 W Main St,,Chattanooga,Hamilton,Broad St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Cloudy,Yes,No,No,No,35.03752,-85.31113,POINT (-85.31113 35.03752),"(35.037520, -85.311130)",Daylight
23-129743,12/05/2023 09:24:00 PM,21.5,7500 Standifer Gap Rd,,Chattanooga,Hamilton,Walker Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,45,1,Clear,Yes,No,No,No,35.050162,-85.13463,POINT (-85.13463 35.050162),"(35.050162, -85.134630)",Dark - Not Lighted
