,Incident Number,Incident Date,Time Num,Street,Alt Street,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
0,23-101216,2023-09-15 23:00:00,23.0,2100 Market St,,W 21st St,,Fatal,Not Collision with Motor Vehicle in Transport,1,1,1,0,35.0,1,Clear,1,0,1.0,1.0,35.030156,-85.308327,POINT (-85.308327 35.030156),"(35.030156, -85.308327)",Dark - Lighted,2023,9,15,23,4
1,23-102526,2023-09-19 16:45:00,17.0,4505 10th Ave,,E 45th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,0,0,30.0,1,Clear,1,0,0.0,0.0,34.990735,-85.288301,POINT (-85.288301 34.990735),"(34.990735, -85.288301)",Daylight,2023,9,19,16,1
2,23-105265,2023-09-27 05:50:00,6.0,4011 Rossville Blvd,,E 41st St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,45.0,1,Clear,1,0,0.0,0.0,34.995172,-85.290933,POINT (-85.290933 34.995172),"(34.995172, -85.290933)",Dark - Unknown Lighting,2023,9,27,5,2
3,23-105569,2023-09-27 20:06:00,20.0,E 3rd St,,N Holtzclaw Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Rain,1,0,0.0,0.0,35.043663,-85.27972,POINT (-85.27972 35.043663),"(35.043663, -85.279720)",Dark - Lighted,2023,9,27,20,2
4,23-108143,2023-10-04 16:57:00,17.0,Mccallie Ave,,S Willow St,,Possible Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.034847,-85.271845,POINT (-85.271845 35.034847),"(35.034847, -85.271845)",Daylight,2023,10,4,16,2
5,23-108200,2023-10-04 20:35:00,20.5,7710 E Brainerd Rd,,Jenkin rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,0,0,0,0,45.0,2,Clear,1,0,0.0,0.0,35.040883,-85.317904,POINT (-85.317904 35.040883),"(35.040883, -85.317904)",Dark - Lighted,2023,10,4,20,2
6,23-108386,2023-10-05 10:55:00,11.0,1000 Baldwin St,,E 10th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,15.0,1,Clear,1,0,0.0,0.0,35.041628,-85.300747,POINT (-85.300747 35.041628),"(35.041628, -85.300747)",Daylight,2023,10,5,10,3
7,23-112201,2023-10-16 05:20:00,5.5,S Holtzclaw Ave,,E Main St,,Possible Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.028961,-85.288147,POINT (-85.288147 35.028961),"(35.028961, -85.288147)",Dark - Lighted,2023,10,16,5,0
8,23-112673,2023-10-17 12:20:00,12.5,200 W MLK Blvd,,Broad St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,0,0,1,0,30.0,1,Clear,1,0,0.0,0.0,35.04574,-85.31046,POINT (-85.31046 35.04574),"(35.045740, -85.310460)",Daylight,2023,10,17,12,1
9,23-113335,2023-10-19 07:30:00,7.5,S Orchard Knob Ave,,E Main St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,1,0,1,0,35.0,1,Clear,1,0,0.0,0.0,35.026079,-85.280092,POINT (-85.280092 35.026079),"(35.026079, -85.280092)",Dawn,2023,10,19,7,3
