Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,fatal,EMSTransport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,drug,etoh,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
23-101216,2023-09-15 23:00:00,23.0,2100 Market St,,Chattanooga,Hamilton,W 21st St,,0,0,1,1,1,0,35.0,1,0,1,0,1.0,1.0,35.030156,-85.308327,POINT (-85.308327 35.030156),"(35.030156, -85.308327)",0,2023,9,15,23,4
23-105265,2023-09-27 05:50:00,6.0,4011 Rossville Blvd,,Chattanooga,Hamilton,E 41st St,,4,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,34.995172,-85.290933,POINT (-85.290933 34.995172),"(34.995172, -85.290933)",2,2023,9,27,5,2
23-105569,2023-09-27 20:06:00,20.0,E 3rd St,,Chattanooga,Hamilton,N Holtzclaw Ave,,1,0,0,0,1,0,35.0,1,4,1,0,0.0,0.0,35.043663,-85.27972,POINT (-85.27972 35.043663),"(35.043663, -85.279720)",0,2023,9,27,20,2
23-108143,2023-10-04 16:57:00,17.0,Mccallie Ave,,Chattanooga,Hamilton,S Willow St,,1,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.034847,-85.271845,POINT (-85.271845 35.034847),"(35.034847, -85.271845)",4,2023,10,4,16,2
23-108386,2023-10-05 10:55:00,11.0,1000 Baldwin St,,Chattanooga,Hamilton,E 10th St,,4,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.041628,-85.300747,POINT (-85.300747 35.041628),"(35.041628, -85.300747)",4,2023,10,5,10,3
23-112201,2023-10-16 05:20:00,5.5,S Holtzclaw Ave,,Chattanooga,Hamilton,E Main St,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.028961,-85.288147,POINT (-85.288147 35.028961),"(35.028961, -85.288147)",0,2023,10,16,5,0
23-112673,2023-10-17 12:20:00,12.5,200 W MLK Blvd,,Chattanooga,Hamilton,Broad St,,4,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.04574,-85.31046,POINT (-85.31046 35.04574),"(35.045740, -85.310460)",4,2023,10,17,12,1
23-113335,2023-10-19 07:30:00,7.5,S Orchard Knob Ave,,Chattanooga,Hamilton,E Main St,,4,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.026079,-85.280092,POINT (-85.280092 35.026079),"(35.026079, -85.280092)",3,2023,10,19,7,3
23-113822,2023-10-20 13:43:00,13.5,Hixson Pike,,Chattanooga,Hamilton,Northpoint Blvd,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.135654,-85.239321,POINT (-85.239321 35.135654),"(35.135654, -85.239321)",4,2023,10,20,13,4
22-102051,2022-10-28 22:00:00,22.0,421 W 38th St,,Chattanooga,Hamilton,Chandler Ave,,4,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.007086,-85.314865,POINT (-85.314865 35.007086),"(35.0070860, -85.314865)",4,2022,10,28,22,4
23-116563,2023-10-27 23:16:00,23.5,N Orchard Knob Ave,,Chattanooga,Hamilton,E 3rd St,,4,0,1,0,1,0,30.0,1,0,1,0,0.0,0.0,35.040879,-85.27199,POINT (-85.27199 35.040879),"(35.040879, -85.271990)",0,2023,10,27,23,4
23-123345,2023-11-16 16:30:00,16.5,Market St,,Chattanooga,Hamilton,E 11th St,,1,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.043915,-85.30934,POINT (-85.30934 35.043915),"(35.043915, -85.309340)",4,2023,11,16,16,3
23-126498,2023-11-26 14:31:00,14.5,300 W Main St,,Chattanooga,Hamilton,Broad St,,4,0,0,0,1,0,35.0,1,1,1,0,0.0,0.0,35.03752,-85.31113,POINT (-85.31113 35.03752),"(35.037520, -85.311130)",4,2023,11,26,14,6
23-129743,2023-12-05 21:24:00,21.5,7500 Standifer Gap Rd,,Chattanooga,Hamilton,Walker Rd,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.050162,-85.13463,POINT (-85.13463 35.050162),"(35.050162, -85.134630)",1,2023,12,5,21,1
23-131640,2023-12-11 19:37:00,19.5,2017 Gunbarrel Rd,,Chattanooga,Hamilton,Goodwin Rd,,5,0,1,0,1,0,15.0,1,0,1,0,,,34.997952,-85.145693,POINT (-85.145693 34.997952),"(34.997952, -85.145693)",0,2023,12,11,19,0
23-016101,2023-02-14 20:33:00,20.5,18120 Interstate 24 Eastbound,I-24,Chattanooga,Hamilton,Interstate 75,181.2,0,0,0,1,1,0,55.0,1,0,1,0,0.0,0.0,35.015381,-85.276945,POINT (-85.276945 35.015381),"(35.015381, -85.276945)",0,2023,2,14,20,1
23-006357,2023-01-18 20:25:00,20.5,,I-24,Chattanooga,Hamilton,Browns Ferry Rd,177.2,0,0,0,1,1,0,55.0,1,4,1,0,0.0,0.0,35.0186462,-85.331377,POINT (-85.331377 35.0186462),"(35.0186462, -85.331377)",1,2023,1,18,20,2
22-108386,2022-10-04 16:46:00,17.0,7001 Lee Hwy,,Chattanooga,Hamilton,Shallowford Rd,,4,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.04497,-85.16237,POINT (-85.16237 35.04497),"(35.044970, -85.162370)",4,2022,10,4,16,1
23-100056,2023-09-12 20:45:00,21.0,1710 Gunbarrel Rd,,Chattanooga,Hamilton,Ziegler Rd,,5,0,1,0,1,0,,1,0,1,0,0.0,0.0,35.020977,-85.15991,POINT (-85.15991 35.020977),"(35.020977, -85.159910)",0,2023,9,12,20,1
23-009878,2023-01-28 16:02:00,16.0,7630 E Brainerd Rd,,Chattanooga,Hamilton,Mackey Branch Dr,,4,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.011617,-85.157779,POINT (-85.157779 35.011617),"(35.011617, -85.157779)",4,2023,1,28,16,5
23-014850,2023-02-11 00:00:00,,602 Central Ave,,Chattanooga,Hamilton,Vine St,,1,0,1,0,1,0,25.0,1,0,1,0,0.0,1.0,35.043677,-85.289771,POINT (-85.289771 35.043677),"(35.043677, -85.289771)",0,2023,2,11,0,5
22-107804,2022-10-03 06:47:00,7.0,Grubb Rd,,Chattanooga,Hamilton,Highway 153,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.158162,-85.248507,POINT (-85.248507 35.158162),"(35.158162, -85.248507)",1,2022,10,3,6,0
23-085509,2023-08-07 07:24:00,7.5,3126 Alton Park Blvd,,Chattanooga,Hamilton,W 31st St,,4,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.01695,-85.312566,POINT (-85.312566 35.01695),"(35.016950, -85.312566)",4,2023,8,7,7,0
23-005718,2023-01-17 05:18:00,5.5,4101 Jerome Ave,,Chattanooga,Hamilton,E 39th St,,1,0,1,0,1,0,15.0,1,4,1,0,0.0,0.0,34.996963,-85.301073,POINT (-85.301073 34.996963),"(34.996963, -85.301073)",0,2023,1,17,5,1
23-078176,2023-07-20 11:08:00,11.0,7640 E Brainerd Rd,,Chattanooga,Hamilton,E Brainerd Rd,,1,0,0,0,1,0,,1,0,1,0,0.0,0.0,35.011033,-85.15783,POINT (-85.15783 35.011033),"(35.011033, -85.157830)",4,2023,7,20,11,3
23-029768,2023-03-23 12:13:00,12.0,Vine St,,Chattanooga,Hamilton,Houston St,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.049178,-85.302365,POINT (-85.302365 35.049178),"(35.049178, -85.302365)",4,2023,3,23,12,3
23-121422,2023-11-11 00:10:00,24.0,1194 Hooker Rd,,Chattanooga,Hamilton,E 49th St,,4,0,1,0,1,0,30.0,1,4,1,0,0.0,0.0,34.985076,-85.287463,POINT (-85.287463 34.985076),"(34.985076, -85.287463)",1,2023,11,11,0,5
23-083287,2023-08-01 21:35:00,21.5,610 N Moore Rd,,Chattanooga,Hamilton,Ellis Ave,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.020732,-85.223996,POINT (-85.223996 35.020732),"(35.020732, -85.223996)",4,2023,8,1,21,1
23-089584,2023-08-17 03:39:00,3.5,400 Chickamauga Rd,,Chattanooga,Hamilton,Lee hwy,,0,0,0,1,0,0,15.0,1,0,1,0,1.0,1.0,35.021816,-85.19837,POINT (-85.19837 35.021816),"(35.021816, -85.198370)",0,2023,8,17,3,3
18-001119,2018-01-04 14:56:00,15.0,51 W 3rd St,,Chattanooga,Hamilton,Market St,,5,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.106632,-85.279061,POINT (-85.279061 35.106632),"(35.106632, -85.279061)",4,2018,1,4,14,3
23-110280,2023-10-10 18:11:00,18.0,3569 Brainerd Rd,,Chattanooga,Hamilton,N Germantown Rd,,1,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.027555,-85.127268,POINT (-85.127268 35.027555),"(35.027555, -85.127268)",4,2023,10,10,18,1
23-108798,2023-10-06 12:26:00,12.5,4011 Brainerd Rd,SR-4011,Chattanooga,Hamilton,Belvoir Ave,,1,0,0,0,1,0,35.0,1,1,1,0,0.0,1.0,35.018851,-85.238307,POINT (-85.238307 35.018851),"(35.018851, -85.238307)",4,2023,10,6,12,4
23-120068,2023-11-07 13:06:00,13.0,8644 E Brainerd Rd,,Chattanooga,Hamilton,Hurricane Creek Rd,,1,0,0,0,1,0,,1,0,1,0,0.0,0.0,34.999417,-85.133814,POINT (-85.133814 34.999417),"(34.999417, -85.133814)",4,2023,11,7,13,1
23-042975,2023-04-25 09:23:00,9.5,Igou Gap Rd,,Chattanooga,Hamilton,Morris Hill Rd,,4,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.016107,-85.125823,POINT (-85.125823 35.016107),"(35.016107, -85.125823)",4,2023,4,25,9,1
23-107498,2023-10-03 07:16:00,7.5,4417 Highway 58,,Chattanooga,Hamilton,Murray Hills Dr,,4,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.084699,-85.202247,POINT (-85.202247 35.084699),"(35.084699, -85.202247)",0,2023,10,3,7,1
23-109046,2023-10-07 00:33:00,0.5,4900 Bonny Oaks Drive,,Chattanooga,Hamilton,Jersey Pike,,0,0,1,1,0,0,45.0,1,0,1,0,1.0,1.0,35.0817186,-85.262947,POINT (-85.262947 35.0817186),"(35.0817186, -85.262947)",0,2023,10,7,0,5
23-044539,2023-04-29 05:38:00,5.5,8001 Volkswagen Dr,,Chattanooga,Hamilton,Ferdinand Piech Wy,,0,0,0,1,1,0,30.0,1,0,1,0,0.0,0.0,35.087197,-85.134496,POINT (-85.134496 35.087197),"(35.087197, -85.134496)",0,2023,4,29,5,5
23-118129,2023-11-01 16:15:00,16.5,17970 Interstate 24 Wb Rd,,Chattanooga,Hamilton,Interstate 24 Eb,,5,0,0,0,1,0,50.0,1,0,1,0,0.0,0.0,35.024619,-85.300802,POINT (-85.300802 35.024619),"(35.024619, -85.300802)",4,2023,11,1,16,2
23-118217,2023-11-01 20:05:00,20.0,5510 Highway 153,,Chattanooga,Hamilton,Gadd Rd,,0,0,0,1,1,0,45.0,2,0,1,0,0.0,0.0,35.001691,-85.293182,POINT (-85.293182 35.001691),"(35.001691, -85.293182)",4,2023,11,1,20,2
18-010600,2018-02-05 04:36:00,4.5,200 E 38th St,SR-200,Chattanooga,Hamilton,Fagan St,,1,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.004571,-85.308231,POINT (-85.308231 35.004571),"(35.004571, -85.308231)",0,2018,2,5,4,0
18-012198,2018-02-10 13:10:00,13.0,7420 Bonny Oaks Dr,,Chattanooga,Hamilton,Silverdale rd,,4,0,0,0,1,0,15.0,1,4,1,0,0.0,0.0,35.06093,-85.136543,POINT (-85.136543 35.06093),"(35.060930, -85.136543)",4,2018,2,10,13,5
18-017761,2018-02-27 17:50:00,18.0,4902 Jeffery Ln,,Chattanooga,Hamilton,E 49th St,,1,0,1,0,1,0,25.0,1,0,1,0,0.0,0.0,34.9915689,-85.306069,POINT (-85.306069 34.9915689),"(34.9915689, -85.306069)",4,2018,2,27,17,1
18-017777,2018-02-28 10:48:00,11.0,100 N Market St,,Chattanooga,Hamilton,Frazier Ave,,5,0,1,0,1,0,30.0,1,4,1,0,0.0,0.0,35.1817509,-85.219612,POINT (-85.219612 35.1817509),"(35.1817509, -85.219612)",4,2018,2,28,10,2
18-023178,2018-03-16 15:20:00,15.5,2199 Wilder St,,Chattanooga,Hamilton,Dodson Ave,,4,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.0586866,-85.27557,POINT (-85.27557 35.0586866),"(35.0586866, -85.275570)",4,2018,3,16,15,4
18-029117,2018-04-03 13:29:00,13.5,3600 Brainerd Rd,,Chattanooga,Hamilton,N Germantown Rd,,4,0,1,0,1,0,40.0,1,0,1,0,0.0,0.0,35.024158,-85.246468,POINT (-85.246468 35.024158),"(35.024158, -85.246468)",4,2018,4,3,13,1
18-029289,2018-04-03 22:50:00,23.0,2300 4th Ave,SR-11,Chattanooga,Hamilton,4th Ave,,1,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.017935,-85.279681,POINT (-85.279681 35.017935),"(35.017935, -85.279681)",0,2018,4,3,22,1
